"Step","no_attack - train/loss","no_attack - train/loss__MIN","no_attack - train/loss__MAX"
"498","0.1328","0.1328","0.1328"
"499","0.106","0.106","0.106"
"500","0.1615","0.1615","0.1615"
"501","0.1827","0.1827","0.1827"
"502","0.0853","0.0853","0.0853"
"503","0.1923","0.1923","0.1923"
"504","0.2408","0.2408","0.2408"
"505","0.2454","0.2454","0.2454"
"506","0.0726","0.0726","0.0726"
"507","0.1619","0.1619","0.1619"
"508","0.1788","0.1788","0.1788"
"509","0.171","0.171","0.171"
"510","0.1286","0.1286","0.1286"
"511","0.2515","0.2515","0.2515"
"512","0.3201","0.3201","0.3201"
"513","0.3399","0.3399","0.3399"
"514","0.0854","0.0854","0.0854"
"515","0.207","0.207","0.207"
"516","0.1548","0.1548","0.1548"
"517","0.2144","0.2144","0.2144"
"518","0.1679","0.1679","0.1679"
"519","0.174","0.174","0.174"
"520","0.1252","0.1252","0.1252"
"521","0.1354","0.1354","0.1354"
"522","0.1868","0.1868","0.1868"
"523","0.1748","0.1748","0.1748"
"524","0.1332","0.1332","0.1332"
"525","0.1035","0.1035","0.1035"
"526","0.1503","0.1503","0.1503"
"527","0.2309","0.2309","0.2309"
"528","0.3158","0.3158","0.3158"
"529","0.1244","0.1244","0.1244"
"530","0.3041","0.3041","0.3041"
"531","0.4027","0.4027","0.4027"
"532","0.2028","0.2028","0.2028"
"533","0.198","0.198","0.198"
"534","0.2103","0.2103","0.2103"
"535","0.11","0.11","0.11"
"536","0.2198","0.2198","0.2198"
"537","0.2355","0.2355","0.2355"
"538","0.3003","0.3003","0.3003"
"539","0.1598","0.1598","0.1598"
"540","0.1587","0.1587","0.1587"
"541","0.0937","0.0937","0.0937"
"542","0.3058","0.3058","0.3058"
"543","0.2102","0.2102","0.2102"
"544","0.327","0.327","0.327"
"545","0.225","0.225","0.225"
"546","0.2183","0.2183","0.2183"
"547","0.1714","0.1714","0.1714"
"548","0.1699","0.1699","0.1699"
"549","0.1061","0.1061","0.1061"
"550","0.3284","0.3284","0.3284"
"551","0.1585","0.1585","0.1585"
"552","0.1318","0.1318","0.1318"
"553","0.0802","0.0802","0.0802"
"554","0.1833","0.1833","0.1833"
"555","0.0813","0.0813","0.0813"
"556","0.16","0.16","0.16"
"557","0.2677","0.2677","0.2677"
"558","0.1725","0.1725","0.1725"
"559","0.1752","0.1752","0.1752"
"560","0.1072","0.1072","0.1072"
"561","0.2129","0.2129","0.2129"
"562","0.2501","0.2501","0.2501"
"563","0.6142","0.6142","0.6142"
"564","0.2477","0.2477","0.2477"
"565","0.0783","0.0783","0.0783"
"566","0.2804","0.2804","0.2804"
"567","0.1627","0.1627","0.1627"
"568","0.1861","0.1861","0.1861"
"569","0.3101","0.3101","0.3101"
"570","0.2356","0.2356","0.2356"
"571","0.1097","0.1097","0.1097"
"572","0.103","0.103","0.103"
"573","0.0947","0.0947","0.0947"
"574","0.1283","0.1283","0.1283"
"575","0.1296","0.1296","0.1296"
"576","0.3003","0.3003","0.3003"
"577","0.1617","0.1617","0.1617"
"578","0.1791","0.1791","0.1791"
"579","0.2272","0.2272","0.2272"
"580","0.3507","0.3507","0.3507"
"581","0.11","0.11","0.11"
"582","0.312","0.312","0.312"
"583","0.1931","0.1931","0.1931"
"584","0.1171","0.1171","0.1171"
"585","0.261","0.261","0.261"
"586","0.0951","0.0951","0.0951"
"587","0.1721","0.1721","0.1721"
"588","0.266","0.266","0.266"
"589","0.2444","0.2444","0.2444"
"590","0.2418","0.2418","0.2418"
"591","0.145","0.145","0.145"
"592","0.1372","0.1372","0.1372"
"593","0.1566","0.1566","0.1566"
"594","0.2797","0.2797","0.2797"
"595","0.1241","0.1241","0.1241"
"596","0.0976","0.0976","0.0976"
"597","0.183","0.183","0.183"
"598","0.204","0.204","0.204"
"599","0.1126","0.1126","0.1126"
"600","0.1986","0.1986","0.1986"
"601","0.1889","0.1889","0.1889"
"602","0.2667","0.2667","0.2667"
"603","0.2201","0.2201","0.2201"
"604","0.1356","0.1356","0.1356"
"605","0.2111","0.2111","0.2111"
"606","0.2851","0.2851","0.2851"
"607","0.3023","0.3023","0.3023"
"608","0.171","0.171","0.171"
"609","0.396","0.396","0.396"
"610","0.1626","0.1626","0.1626"
"611","0.1972","0.1972","0.1972"
"612","0.2897","0.2897","0.2897"
"613","0.1249","0.1249","0.1249"
"614","0.2083","0.2083","0.2083"
"615","0.0793","0.0793","0.0793"
"616","0.1367","0.1367","0.1367"
"617","0.3272","0.3272","0.3272"
"618","0.1144","0.1144","0.1144"
"619","0.1929","0.1929","0.1929"
"620","0.0772","0.0772","0.0772"
"621","0.2407","0.2407","0.2407"
"622","0.1407","0.1407","0.1407"
